feature,transformation,difference
edge_density,resize_640x360,0.01413483796296297
blur,resize_640x360,698.9816096200112
corner_count,resize_640x360,109.0
contrast,resize_640x360,0.39070518706829205
keypoint_count,resize_640x360,271.0
colorfulness,resize_640x360,0.10970656618044927
brightness,resize_640x360,0.02778211805555486
entropy,resize_640x360,5.817413330078125e-05
text_length,resize_640x360,0.0
text_count,resize_640x360,0.0
text_presence,resize_640x360,0.0
face_count,resize_640x360,0.0
symmetry,resize_640x360,0.001779264251997037
edge_density,resize_480x270,0.0035165895061728403
blur,resize_480x270,90.78697406216656
corner_count,resize_480x270,73.0
contrast,resize_480x270,0.42158997681908517
keypoint_count,resize_480x270,708.0
colorfulness,resize_480x270,0.06851361677978218
brightness,resize_480x270,0.0022087191358082237
entropy,resize_480x270,0.0050506591796875
text_length,resize_480x270,0.0
text_count,resize_480x270,0.0
text_presence,resize_480x270,0.0
face_count,resize_480x270,0.0
symmetry,resize_480x270,0.002206865770999711
edge_density,resize_320x180,0.022210648148148146
blur,resize_320x180,329.787763856069
corner_count,resize_320x180,234.0
contrast,resize_320x180,1.0387184517883057
keypoint_count,resize_320x180,2635.0
colorfulness,resize_320x180,0.21642125480025243
brightness,resize_320x180,0.021822916666664582
entropy,resize_320x180,0.006526947021484375
text_length,resize_320x180,0.0
text_count,resize_320x180,0.0
text_presence,resize_320x180,0.0
face_count,resize_320x180,0.0
symmetry,resize_320x180,0.005009486201888125
edge_density,resize_240x135,0.03661072530864197
blur,resize_240x135,1399.3486614064764
corner_count,resize_240x135,308.0
contrast,resize_240x135,1.0574862631335122
keypoint_count,resize_240x135,3385.0
colorfulness,resize_240x135,0.15739863912371277
brightness,resize_240x135,0.031556712962967026
entropy,resize_240x135,0.009526252746582031
text_length,resize_240x135,0.0
text_count,resize_240x135,0.0
text_presence,resize_240x135,0.0
face_count,resize_240x135,0.0
symmetry,resize_240x135,0.004746444565480457
edge_density,resize_160x90,0.06056134259259259
blur,resize_160x90,3725.6776284936554
corner_count,resize_160x90,355.0
contrast,resize_160x90,0.3943684236723968
keypoint_count,resize_160x90,3940.0
colorfulness,resize_160x90,0.4969062832325335
brightness,resize_160x90,0.7204340277777845
entropy,resize_160x90,0.0050449371337890625
text_length,resize_160x90,0.0
text_count,resize_160x90,0.0
text_presence,resize_160x90,0.0
face_count,resize_160x90,0.0
symmetry,resize_160x90,0.0029373184458968415
edge_density,resize_426x240,0.003695145409493991
blur,resize_426x240,297.2580292824059
corner_count,resize_426x240,131.0
contrast,resize_426x240,0.8417436128489655
keypoint_count,resize_426x240,1351.0
colorfulness,resize_426x240,0.1537927510398731
brightness,resize_426x240,0.06483396909233363
entropy,resize_426x240,0.002216339111328125
text_length,resize_426x240,0.0
text_count,resize_426x240,0.0
text_presence,resize_426x240,0.0
face_count,resize_426x240,0.0
symmetry,resize_426x240,0.003974462881135676
edge_density,compress,0.02208333333333333
blur,compress,1340.4446680941355
corner_count,compress,87.0
contrast,compress,0.5450027814703162
keypoint_count,compress,92.0
