video_id,channel,publish_date,title,thumbnail_url,views,likes,comments,image_path
dnnCfl305_s,Fateema Journals,2025-07-05T03:58:05Z,Taking aesthetic notes on Samsung Tab A9,https://i.ytimg.com/vi/dnnCfl305_s/hqdefault.jpg,10553367,150331.0,837.0,data/raw/images/dnnCfl305_s.jpg
Po5VbyTAca4,Manisha Mishra,2026-04-01T13:06:35Z,"Study with me , story time.❣️#shorts #studywithme #storytime",https://i.ytimg.com/vi/Po5VbyTAca4/hqdefault.jpg,478,53.0,10.0,data/raw/images/Po5VbyTAca4.jpg
GwQE3ahEqTE,ZeroWasteStore,2025-12-06T16:00:27Z,Underconsumption core is reusing brown paper from packages to wrap presents,https://i.ytimg.com/vi/GwQE3ahEqTE/hqdefault.jpg,30406,728.0,24.0,data/raw/images/GwQE3ahEqTE.jpg
s-Mc26Ytz10,Teacher's Tech,2026-02-25T12:01:35Z,Claude Code for Beginners — Build Your First App with AI (No Coding Required!),https://i.ytimg.com/vi/s-Mc26Ytz10/hqdefault.jpg,43206,637.0,28.0,data/raw/images/s-Mc26Ytz10.jpg
vHaPgrSMlI0,Altcoin Daily,2025-06-06T15:01:38Z,2026 Bitcoin Price Prediction,https://i.ytimg.com/vi/vHaPgrSMlI0/hqdefault.jpg,136005,2387.0,118.0,data/raw/images/vHaPgrSMlI0.jpg
Sn9w7SGDc2c,Daniel Atitienei,2026-02-04T12:40:26Z,What’s On My MacBook As a Software Engineer | Coding Setup 2026,https://i.ytimg.com/vi/Sn9w7SGDc2c/hqdefault.jpg,2003,46.0,12.0,data/raw/images/Sn9w7SGDc2c.jpg
t4J8wUFOjjo,Giovana Backes,2025-06-24T21:08:29Z,⚠️⭐️ TÍTULOS FACEIS E BONITOS | Ideias de Titulo para Caderno #titulos #caderno  #cadernoorganizado,https://i.ytimg.com/vi/t4J8wUFOjjo/hqdefault.jpg,474070,7986.0,57.0,data/raw/images/t4J8wUFOjjo.jpg
74cOUSKXMz0,iCanStudy,2025-08-14T03:02:42Z,"3-HOUR STUDY WITH ME | Hyper Efficient, Doctor, Focus Music, Pomodoro 50-10",https://i.ytimg.com/vi/74cOUSKXMz0/hqdefault.jpg,9238832,149751.0,7163.0,data/raw/images/74cOUSKXMz0.jpg
1mOdOeeQCTQ,Genius_Mindset,2026-04-01T17:46:05Z,Study time | Study with me | Suhana kumari #motivation #dreambigstudyhard #study,https://i.ytimg.com/vi/1mOdOeeQCTQ/hqdefault.jpg,31,0.0,0.0,data/raw/images/1mOdOeeQCTQ.jpg
lkd2yAEssPc,Cute Girl Wallpaper,2026-04-01T14:25:52Z,Evil Eye Border Design 🧿✨ | Easy Aesthetic Notebook Idea✨💙 #pagedecoration #frontpage #evileyedesign,https://i.ytimg.com/vi/lkd2yAEssPc/hqdefault.jpg,1855,,3.0,data/raw/images/lkd2yAEssPc.jpg
5OIOL3B7aZE,The RELM & Co,2026-01-05T04:21:31Z,Fashion Trend Predictions for 2026 - Wearable & Thrift-able Style,https://i.ytimg.com/vi/5OIOL3B7aZE/hqdefault.jpg,8629,557.0,46.0,data/raw/images/5OIOL3B7aZE.jpg
1xO6XXE93QM,Blloku I Arte,2026-03-30T06:16:02Z,NEW Notebook Collection 2026 😍 | Modele të ndryshme blloqesh që do t’i dashurosh!,https://i.ytimg.com/vi/1xO6XXE93QM/hqdefault.jpg,1918,21.0,0.0,data/raw/images/1xO6XXE93QM.jpg
dwsLCLUwZUA,karyastreetstyle,2026-02-28T20:24:15Z,Spring 2026 fashion trends,https://i.ytimg.com/vi/dwsLCLUwZUA/hqdefault.jpg,3774,76.0,2.0,data/raw/images/dwsLCLUwZUA.jpg
hMbqA-4heMQ,Simply Doanise,2026-01-31T23:31:28Z,"My Core Money Beliefs (Growing Up Poor, Minimalism & Why I Don’t Believe in Homeownership)",https://i.ytimg.com/vi/hMbqA-4heMQ/hqdefault.jpg,12105,768.0,148.0,data/raw/images/hMbqA-4heMQ.jpg
lEGxfKnw-kI,おやすミーコ,2026-03-14T15:51:23Z,2026🪷春のトレンド予想＆解説✩fashion trends #youtube #トレンド予想 #2026 #春コーデ,https://i.ytimg.com/vi/lEGxfKnw-kI/hqdefault.jpg,4177,34.0,0.0,data/raw/images/lEGxfKnw-kI.jpg
TnJs5qqs5vM,Tyra Colar,2026-02-20T16:13:13Z,Fashion Forecast | Fashion Trend Report | How Ro Style | Spring 2026 Fashion Trends #fashion,https://i.ytimg.com/vi/TnJs5qqs5vM/hqdefault.jpg,820,25.0,0.0,data/raw/images/TnJs5qqs5vM.jpg
-VTiqivKOB8,Tech With Tim,2026-02-10T19:05:34Z,The Only AI Coding Tools Worth Learning in 2026,https://i.ytimg.com/vi/-VTiqivKOB8/hqdefault.jpg,66725,1463.0,104.0,data/raw/images/-VTiqivKOB8.jpg
gcuR_-rzlDw,Nick Saraev,2026-02-27T03:16:34Z,VIBE CODING FULL COURSE: Gemini 3.1 + Antigravity (6 Hrs),https://i.ytimg.com/vi/gcuR_-rzlDw/hqdefault.jpg,166235,6603.0,440.0,data/raw/images/gcuR_-rzlDw.jpg
7NUaX6wAGEk,Journal Heart ♡,2026-03-04T12:30:18Z,ഒരു Cute Stationery Unboxing ✨💌 | Journalsay Haul #aesthetic #pinterest #sticker,https://i.ytimg.com/vi/7NUaX6wAGEk/hqdefault.jpg,216684,3615.0,190.0,data/raw/images/7NUaX6wAGEk.jpg
2am6kFd38qM,M K  A e s t h e t i c s ♡,2025-07-24T22:58:29Z,Empty Notebook Ideas 📚✨️ (pt.1) #journal #aesthetic #school #books #journaling,https://i.ytimg.com/vi/2am6kFd38qM/hqdefault.jpg,885620,,75.0,data/raw/images/2am6kFd38qM.jpg
AK9Sz_KjsnI,BRStore ,2026-04-01T08:36:13Z,Aimilo Buku Spiral Notebook A5 Aesthetic #bukubinder #spiralnotebook #notebookspiral,https://i.ytimg.com/vi/AK9Sz_KjsnI/hqdefault.jpg,176,2.0,0.0,data/raw/images/AK9Sz_KjsnI.jpg
EV6HS1n7qMs,Struggle With Daud ,2026-04-01T14:37:14Z,🔴 12 HOURS LIVE STUDY WITH ME | 2 MONTHS BACKLOG FINISH 📚 #neetaspirants #neet2026 #studywithme,https://i.ytimg.com/vi/EV6HS1n7qMs/hqdefault.jpg,23,3.0,0.0,data/raw/images/EV6HS1n7qMs.jpg
xJCHM-jIMZY,Nexa Diaries ,2026-04-01T15:21:59Z,Study With Me ✏️ | Real Study Session,https://i.ytimg.com/vi/xJCHM-jIMZY/hqdefault.jpg,324,8.0,0.0,data/raw/images/xJCHM-jIMZY.jpg
wvL9pAYfLBU,Hiteshita_Art ,2026-04-01T11:39:13Z,Stunning notebook cover 📔#art #drawing #diy #aesthetic #notebook #notebookcoverdesign,https://i.ytimg.com/vi/wvL9pAYfLBU/hqdefault.jpg,1355,7.0,,data/raw/images/wvL9pAYfLBU.jpg
gYDcE2VzzPI,SoulArt,2025-04-11T15:00:50Z,Turning my old notebooks into new #notebook #lifehacks #design #useful subscribe for another part,https://i.ytimg.com/vi/gYDcE2VzzPI/hqdefault.jpg,251435,2064.0,20.0,data/raw/images/gYDcE2VzzPI.jpg
utdbczwZwTI,PYQ NEET-JEE Live,2026-03-31T21:50:28Z,📚 Study with ME Live 🎥 | 👨‍⚕️ NEET 2026 | 👨🏻‍💻 JEE 2026 | 🧑‍🎓 Boards | UPSC| NDA| IAS| CA #neet #jee,https://i.ytimg.com/vi/utdbczwZwTI/hqdefault.jpg,2883,133.0,2.0,data/raw/images/utdbczwZwTI.jpg
cMVLrjBofoI,What is a Budget?,2025-04-22T02:22:37Z,✨Underconsumption Core✨,https://i.ytimg.com/vi/cMVLrjBofoI/hqdefault.jpg,20297,129.0,0.0,data/raw/images/cMVLrjBofoI.jpg
qz_BrXpGjvw,A FASHION,2026-02-18T14:09:00Z,7 Fashion Trends That Will Define Spring & Summer 2026,https://i.ytimg.com/vi/qz_BrXpGjvw/hqdefault.jpg,16080,479.0,10.0,data/raw/images/qz_BrXpGjvw.jpg
s1t-gbvZ07g,Tyra Colar,2026-02-19T04:15:37Z,Spring Outfits | Trend Predictions | Wearable Fashion Trends | How To a find Spring Fashion Trends,https://i.ytimg.com/vi/s1t-gbvZ07g/hqdefault.jpg,917,11.0,1.0,data/raw/images/s1t-gbvZ07g.jpg
7V7tfbEYR4Q,Anshmi,2026-03-31T06:54:42Z,Meesho finds: cutest journal ever 💕#shorts#trending#viral#meesho #youtubeshorts#shortsvideo#ytshorts,https://i.ytimg.com/vi/7V7tfbEYR4Q/hqdefault.jpg,1514,28.0,0.0,data/raw/images/7V7tfbEYR4Q.jpg
dFfteM0DY3c,ellebangs,2026-01-21T19:37:53Z,"2026 Hair Trends Forecast: Gloss, Sleek Blowouts & Depth ✨ #haircolorideas #haircare #hairtrends",https://i.ytimg.com/vi/dFfteM0DY3c/hqdefault.jpg,42279,1620.0,42.0,data/raw/images/dFfteM0DY3c.jpg
iNosBuUybfU,ControlRoom,2026-04-01T06:44:11Z,STUDY WITH ME 7hrs 💫📝 60/10 pomodoro 🎤(real sound),https://i.ytimg.com/vi/iNosBuUybfU/hqdefault.jpg,89,6.0,0.0,data/raw/images/iNosBuUybfU.jpg
R-bL5kJgTL4,Kathryn Kellogg,2026-02-11T14:30:00Z,"8 ""Eco Friendly"" Trends that Aged TERRIBLY (2016 vs 2026)",https://i.ytimg.com/vi/R-bL5kJgTL4/hqdefault.jpg,48895,2234.0,273.0,data/raw/images/R-bL5kJgTL4.jpg
zY94RpOiU-w,Olga Merzlyakova,2026-02-09T12:12:19Z,Taste vs Consumption. #Minimalism #Vintage  #Sustainability #PersonalStyle #underconsumption,https://i.ytimg.com/vi/zY94RpOiU-w/hqdefault.jpg,1158,31.0,0.0,data/raw/images/zY94RpOiU-w.jpg
e-ng-20KKf0,howtonachhaltig,2025-12-13T20:14:46Z,#Underconsumption core #nachhaltig #nachhaltigkeit,https://i.ytimg.com/vi/e-ng-20KKf0/hqdefault.jpg,19704,216.0,3.0,data/raw/images/e-ng-20KKf0.jpg
uP0SHiu6ZDY,Aesthetic _Study,2025-06-12T05:10:16Z,Flip through my notebook 📒#shorts #youtubeshorts,https://i.ytimg.com/vi/uP0SHiu6ZDY/hqdefault.jpg,14303739,169170.0,1792.0,data/raw/images/uP0SHiu6ZDY.jpg
qVhLmuXsR7Y,Harshita ,2026-04-01T13:00:00Z,Dsy-02/10 Study with me (⁠◕⁠ᴗ⁠◕⁠✿⁠) #cgpsc #minivlog #lockin,https://i.ytimg.com/vi/qVhLmuXsR7Y/hqdefault.jpg,209,4.0,1.0,data/raw/images/qVhLmuXsR7Y.jpg
mE7dpfyyYHs,Anna Katherine Page,2026-01-07T02:01:12Z,underconsumption core as a first time homeowner & mom #underconsumptioncore #shopsecondhand,https://i.ytimg.com/vi/mE7dpfyyYHs/hqdefault.jpg,49,0.0,0.0,data/raw/images/mE7dpfyyYHs.jpg
gONX8QlHuC8,Bharti Sharma,2026-04-01T17:00:52Z,Password protected dairy for daily journaling #youtubeshorts #trending #journaling #aesthetic #dairy,https://i.ytimg.com/vi/gONX8QlHuC8/hqdefault.jpg,8,1.0,0.0,data/raw/images/gONX8QlHuC8.jpg
U2lHEAN21KY,AI with Hassan,2026-03-14T13:01:00Z,Claude Code + Ollama = FREE UNLIMITED CODING (No API Key Required),https://i.ytimg.com/vi/U2lHEAN21KY/hqdefault.jpg,60713,1593.0,120.0,data/raw/images/U2lHEAN21KY.jpg
yFSKexZIBpQ,crafter study,2026-04-01T05:00:13Z,Day 1/30✨️ 30 days challenge ✨️study with me 🎀 #shorts #studyvlog,https://i.ytimg.com/vi/yFSKexZIBpQ/hqdefault.jpg,1195,16.0,10.0,data/raw/images/yFSKexZIBpQ.jpg
U7fFul0QWM4,mary's room,2025-08-16T22:00:23Z,"What is Frugal Chic? A Response to Underconsumption, Recession-Core & Minimalism?",https://i.ytimg.com/vi/U7fFul0QWM4/hqdefault.jpg,84953,2448.0,78.0,data/raw/images/U7fFul0QWM4.jpg
V694O1kHBPc,Nicolai Nielsen,2026-02-12T14:40:27Z,How to Setup AI Agent Skills for Coding with TRAE Skills,https://i.ytimg.com/vi/V694O1kHBPc/hqdefault.jpg,26632,23.0,4.0,data/raw/images/V694O1kHBPc.jpg
